game_id,club_id,own_goals,own_position,own_manager_name,opponent_id,opponent_goals,opponent_position,opponent_manager_name,hosting,is_win
2578234,989.0,1.0,14.0,Eddie Howe,631.0,4.0,9.0,Guus Hiddink,Home,0
2578253,148.0,1.0,2.0,Mauricio Pochettino,984.0,1.0,13.0,Tony Pulis,Home,0
2578261,405.0,0.0,20.0,Eric Black,762.0,0.0,18.0,Rafael Benítez,Home,0
2578262,631.0,2.0,9.0,Guus Hiddink,148.0,2.0,2.0,Mauricio Pochettino,Home,0
2578264,631.0,1.0,10.0,Guus Hiddink,1003.0,1.0,1.0,Claudio Ranieri,Home,0
2578267,29.0,3.0,11.0,David Unsworth,1123.0,0.0,19.0,Alex Neil,Home,1
2581153,105.0,2.0,10.0,Dirk Schuster,42.0,2.0,9.0,Michael Frontzeck,Home,0
2581154,39.0,0.0,13.0,Martin Schmidt,4795.0,1.0,8.0,Ralph Hasenhüttl,Home,0
2581175,18.0,1.0,18.0,Lucien Favre,39.0,2.0,8.0,Martin Schmidt,Home,0
2581185,82.0,3.0,3.0,Dieter Hecking,33.0,0.0,9.0,André Breitenreiter,Home,1
2581637,167.0,2.0,14.0,Markus Weinzierl,42.0,0.0,16.0,Michael Frontzeck,Home,1
2581647,44.0,2.0,5.0,Pál Dárdai,3.0,0.0,7.0,Peter Stöger,Home,1
2581666,27.0,5.0,1.0,Pep Guardiola,16.0,1.0,2.0,Thomas Tuchel,Home,1
2581674,105.0,2.0,10.0,Dirk Schuster,39.0,3.0,8.0,Martin Schmidt,Home,0
2581702,79.0,2.0,15.0,Alexander Zorniger,105.0,0.0,13.0,Dirk Schuster,Home,1
2581704,86.0,1.0,16.0,Viktor Skrypnyk,16.0,3.0,2.0,Thomas Tuchel,Home,0
2581720,533.0,0.0,17.0,Huub Stevens,24.0,0.0,12.0,Armin Veh,Home,0
2581740,15.0,1.0,6.0,Roger Schmidt,33.0,1.0,8.0,André Breitenreiter,Home,0
2581755,82.0,1.0,5.0,Dieter Hecking,16.0,2.0,2.0,Thomas Tuchel,Home,0
2581807,27.0,2.0,1.0,Pep Guardiola,533.0,0.0,17.0,Huub Stevens,Home,1
2581909,24.0,1.0,16.0,Armin Veh,4795.0,1.0,9.0,Ralph Hasenhüttl,Home,0
2581969,33.0,2.0,7.0,André Breitenreiter,15.0,3.0,3.0,Roger Schmidt,Home,0
2586769,995.0,1.0,7.0,Michel Der Zakarian,855.0,0.0,18.0,Jocelyn Gourvennec,Home,1
2586789,995.0,1.0,4.0,Michel Der Zakarian,1421.0,0.0,7.0,Olivier Guégan,Home,1
2586807,1158.0,3.0,17.0,Sylvain Ripoll,1420.0,1.0,7.0,Stéphane Moulin,Home,1
2586808,995.0,0.0,10.0,Michel Der Zakarian,273.0,2.0,2.0,Philippe Montanier,Home,0
2586811,969.0,1.0,19.0,Rolland Courbis,618.0,2.0,4.0,Christophe Galtier,Home,0
2586992,1158.0,4.0,7.0,Sylvain Ripoll,1095.0,1.0,20.0,Jean-Marc Furlan,Home,1
2586999,1421.0,1.0,14.0,Olivier Guégan,3558.0,2.0,18.0,Thierry Laurey,Home,0
2594498,150.0,1.0,9.0,Pepe Mel,681.0,0.0,17.0,David Moyes,Home,1
2594535,13.0,1.0,5.0,Diego Simeone,418.0,1.0,3.0,Rafael Benítez,Home,0
2594573,368.0,3.0,10.0,Unai Emery,418.0,2.0,2.0,Rafael Benítez,Home,1
2594601,1050.0,2.0,5.0,Marcelino,367.0,1.0,16.0,Paco Jémez,Home,1
2594620,367.0,1.0,17.0,Paco Jémez,1084.0,2.0,16.0,Javi Gracia,Home,0
2594626,150.0,0.0,12.0,Pepe Mel,368.0,0.0,8.0,Unai Emery,Home,0
2594627,714.0,1.0,11.0,Constantin Gâlcă,472.0,0.0,19.0,Quique Setién,Home,1
2594647,16795.0,2.0,17.0,José Ramón Sandoval,368.0,1.0,9.0,Unai Emery,Home,1
2594656,131.0,4.0,1.0,Luis Enrique,16795.0,0.0,17.0,José Ramón Sandoval,Home,1
2594657,368.0,2.0,7.0,Unai Emery,621.0,0.0,8.0,Ernesto Valverde,Home,1
2594659,940.0,0.0,5.0,Eduardo Berizzo,13.0,2.0,2.0,Diego Simeone,Home,0
2594733,472.0,4.0,15.0,Quique Setién,3709.0,0.0,18.0,Fran Escribá,Home,1
2594797,940.0,1.0,6.0,Eduardo Berizzo,150.0,1.0,14.0,Juan Merino,Home,0
2594808,16795.0,5.0,17.0,José González,3368.0,1.0,20.0,Rubi,Home,1
2600607,1082.0,1.0,18.0,Frédéric Antonetti,618.0,0.0,7.0,Christophe Galtier,Home,1
2600609,1158.0,0.0,9.0,Sylvain Ripoll,417.0,0.0,5.0,Claude Puel,Home,0
2600618,1041.0,0.0,5.0,Hubert Fournier,1420.0,2.0,2.0,Stéphane Moulin,Home,0
2600634,618.0,1.0,6.0,Christophe Galtier,1420.0,0.0,3.0,Stéphane Moulin,Home,1
2600638,1158.0,0.0,8.0,Sylvain Ripoll,995.0,0.0,13.0,Michel Der Zakarian,Home,0
2600643,415.0,1.0,19.0,Dominique Arribagé,1082.0,1.0,11.0,Frédéric Antonetti,Home,0
2603995,430.0,1.0,8.0,Paulo Sousa,252.0,0.0,11.0,Gian Piero Gasperini,Home,1
2604000,398.0,2.0,9.0,Stefano Pioli,410.0,0.0,13.0,Stefano Colantuono,Home,1
2604004,800.0,1.0,12.0,Edoardo Reja,276.0,1.0,15.0,Andrea Mandorlini,Home,0
2604013,410.0,1.0,17.0,Stefano Colantuono,749.0,2.0,14.0,Marco Giampaolo,Home,0
2604037,430.0,3.0,1.0,Paulo Sousa,800.0,0.0,10.0,Edoardo Reja,Home,1
2604044,800.0,3.0,8.0,Edoardo Reja,4102.0,0.0,19.0,Giuseppe Sannino,Home,1
2604051,12.0,3.0,2.0,Rudi Garcia,749.0,1.0,17.0,Marco Giampaolo,Home,1
2604059,398.0,3.0,5.0,Stefano Pioli,416.0,0.0,8.0,Gian Piero Ventura,Home,1
2604126,252.0,0.0,17.0,Gian Piero Gasperini,1025.0,1.0,13.0,Roberto Donadoni,Home,0
2604143,416.0,0.0,10.0,Gian Piero Ventura,410.0,1.0,13.0,Stefano Colantuono,Home,0
2604253,8970.0,2.0,18.0,Roberto Stellone,410.0,0.0,16.0,Stefano Colantuono,Home,1
