Journée,Position,Équipe,Points
21,1,Paris Saint-Germain,50
21,2,Olympique de Marseille,37
21,3,AS Monaco,37
21,4,LOSC Lille,35
21,5,OGC Nice,33
21,6,RC Lens,33
21,7,Olympique Lyonnais,30
21,8,Stade Brestois 29,28
21,9,RC Strasbourg Alsace,27
21,10,Toulouse FC,25
21,11,AJ Auxerre,23
21,12,Stade de Reims,22
21,13,Angers SCO,22
21,14,FC Nantes,18
21,15,AS Saint-Étienne,18
21,16,Stade Rennais FC,17
21,17,Montpellier Hérault SC,15
21,18,Le Havre AC,13
22,1,Paris Saint-Germain,50
22,2,Olympique de Marseille,37
22,3,AS Monaco,37
22,4,LOSC Lille,35
22,5,OGC Nice,33
22,6,RC Lens,33
22,7,Olympique Lyonnais,30
22,8,Stade Brestois 29,28
22,9,RC Strasbourg Alsace,27
22,10,Toulouse FC,25
22,11,AJ Auxerre,23
22,12,Stade de Reims,22
22,13,Angers SCO,22
22,14,FC Nantes,18
22,15,AS Saint-Étienne,18
22,16,Stade Rennais FC,17
22,17,Montpellier Hérault SC,15
22,18,Le Havre AC,13
23,1,Paris Saint-Germain,50
23,2,Olympique de Marseille,37
23,3,AS Monaco,37
23,4,LOSC Lille,35
23,5,OGC Nice,33
23,6,RC Lens,33
23,7,Olympique Lyonnais,30
23,8,Stade Brestois 29,28
23,9,RC Strasbourg Alsace,27
23,10,Toulouse FC,25
23,11,AJ Auxerre,23
23,12,Stade de Reims,22
23,13,Angers SCO,22
23,14,FC Nantes,18
23,15,AS Saint-Étienne,18
23,16,Stade Rennais FC,17
23,17,Montpellier Hérault SC,15
23,18,Le Havre AC,13
24,1,Paris Saint-Germain,50
24,2,Olympique de Marseille,37
24,3,AS Monaco,37
24,4,LOSC Lille,35
24,5,OGC Nice,33
24,6,RC Lens,33
24,7,Olympique Lyonnais,30
24,8,Stade Brestois 29,28
24,9,RC Strasbourg Alsace,27
24,10,Toulouse FC,25
24,11,AJ Auxerre,23
24,12,Stade de Reims,22
24,13,Angers SCO,22
24,14,FC Nantes,18
24,15,AS Saint-Étienne,18
24,16,Stade Rennais FC,17
24,17,Montpellier Hérault SC,15
24,18,Le Havre AC,13
25,1,Paris Saint-Germain,50
25,2,Olympique de Marseille,37
25,3,AS Monaco,37
25,4,LOSC Lille,35
25,5,OGC Nice,33
25,6,RC Lens,33
25,7,Olympique Lyonnais,30
25,8,Stade Brestois 29,28
25,9,RC Strasbourg Alsace,27
25,10,Toulouse FC,25
25,11,AJ Auxerre,23
25,12,Stade de Reims,22
25,13,Angers SCO,22
25,14,FC Nantes,18
25,15,AS Saint-Étienne,18
25,16,Stade Rennais FC,17
25,17,Montpellier Hérault SC,15
25,18,Le Havre AC,13
26,1,Paris Saint-Germain,50
26,2,Olympique de Marseille,37
26,3,AS Monaco,37
26,4,LOSC Lille,35
26,5,OGC Nice,33
26,6,RC Lens,33
26,7,Olympique Lyonnais,30
26,8,Stade Brestois 29,28
26,9,RC Strasbourg Alsace,27
26,10,Toulouse FC,25
26,11,AJ Auxerre,23
26,12,Stade de Reims,22
26,13,Angers SCO,22
26,14,FC Nantes,18
26,15,AS Saint-Étienne,18
26,16,Stade Rennais FC,17
26,17,Montpellier Hérault SC,15
26,18,Le Havre AC,13
27,1,Paris Saint-Germain,50
27,2,Olympique de Marseille,37
27,3,AS Monaco,37
27,4,LOSC Lille,35
27,5,OGC Nice,33
27,6,RC Lens,33
27,7,Olympique Lyonnais,30
27,8,Stade Brestois 29,28
27,9,RC Strasbourg Alsace,27
27,10,Toulouse FC,25
27,11,AJ Auxerre,23
27,12,Stade de Reims,22
27,13,Angers SCO,22
27,14,FC Nantes,18
27,15,AS Saint-Étienne,18
27,16,Stade Rennais FC,17
27,17,Montpellier Hérault SC,15
27,18,Le Havre AC,13
28,1,Paris Saint-Germain,50
28,2,Olympique de Marseille,37
28,3,AS Monaco,37
28,4,LOSC Lille,35
28,5,OGC Nice,33
28,6,RC Lens,33
28,7,Olympique Lyonnais,30
28,8,Stade Brestois 29,28
28,9,RC Strasbourg Alsace,27
28,10,Toulouse FC,25
28,11,AJ Auxerre,23
28,12,Stade de Reims,22
28,13,Angers SCO,22
28,14,FC Nantes,18
28,15,AS Saint-Étienne,18
28,16,Stade Rennais FC,17
28,17,Montpellier Hérault SC,15
28,18,Le Havre AC,13
29,1,Paris Saint-Germain,50
29,2,Olympique de Marseille,37
29,3,AS Monaco,37
29,4,LOSC Lille,35
29,5,OGC Nice,33
29,6,RC Lens,33
29,7,Olympique Lyonnais,30
29,8,Stade Brestois 29,28
29,9,RC Strasbourg Alsace,27
29,10,Toulouse FC,25
29,11,AJ Auxerre,23
29,12,Stade de Reims,22
29,13,Angers SCO,22
29,14,FC Nantes,18
29,15,AS Saint-Étienne,18
29,16,Stade Rennais FC,17
29,17,Montpellier Hérault SC,15
29,18,Le Havre AC,13
30,1,Paris Saint-Germain,50
30,2,Olympique de Marseille,37
30,3,AS Monaco,37
30,4,LOSC Lille,35
30,5,OGC Nice,33
30,6,RC Lens,33
30,7,Olympique Lyonnais,30
30,8,Stade Brestois 29,28
30,9,RC Strasbourg Alsace,27
30,10,Toulouse FC,25
30,11,AJ Auxerre,23
30,12,Stade de Reims,22
30,13,Angers SCO,22
30,14,FC Nantes,18
30,15,AS Saint-Étienne,18
30,16,Stade Rennais FC,17
30,17,Montpellier Hérault SC,15
30,18,Le Havre AC,13
31,1,Paris Saint-Germain,50
31,2,Olympique de Marseille,37
31,3,AS Monaco,37
31,4,LOSC Lille,35
31,5,OGC Nice,33
31,6,RC Lens,33
31,7,Olympique Lyonnais,30
31,8,Stade Brestois 29,28
31,9,RC Strasbourg Alsace,27
31,10,Toulouse FC,25
31,11,AJ Auxerre,23
31,12,Stade de Reims,22
31,13,Angers SCO,22
31,14,FC Nantes,18
31,15,AS Saint-Étienne,18
31,16,Stade Rennais FC,17
31,17,Montpellier Hérault SC,15
31,18,Le Havre AC,13
32,1,Paris Saint-Germain,50
32,2,Olympique de Marseille,37
32,3,AS Monaco,37
32,4,LOSC Lille,35
32,5,OGC Nice,33
32,6,RC Lens,33
32,7,Olympique Lyonnais,30
32,8,Stade Brestois 29,28
32,9,RC Strasbourg Alsace,27
32,10,Toulouse FC,25
32,11,AJ Auxerre,23
32,12,Stade de Reims,22
32,13,Angers SCO,22
32,14,FC Nantes,18
32,15,AS Saint-Étienne,18
32,16,Stade Rennais FC,17
32,17,Montpellier Hérault SC,15
32,18,Le Havre AC,13
33,1,Paris Saint-Germain,50
33,2,Olympique de Marseille,37
33,3,AS Monaco,37
33,4,LOSC Lille,35
33,5,OGC Nice,33
33,6,RC Lens,33
33,7,Olympique Lyonnais,30
33,8,Stade Brestois 29,28
33,9,RC Strasbourg Alsace,27
33,10,Toulouse FC,25
33,11,AJ Auxerre,23
33,12,Stade de Reims,22
33,13,Angers SCO,22
33,14,FC Nantes,18
33,15,AS Saint-Étienne,18
33,16,Stade Rennais FC,17
33,17,Montpellier Hérault SC,15
33,18,Le Havre AC,13
34,1,Paris Saint-Germain,50
34,2,Olympique de Marseille,37
34,3,AS Monaco,37
34,4,LOSC Lille,35
34,5,OGC Nice,33
34,6,RC Lens,33
34,7,Olympique Lyonnais,30
34,8,Stade Brestois 29,28
34,9,RC Strasbourg Alsace,27
34,10,Toulouse FC,25
34,11,AJ Auxerre,23
34,12,Stade de Reims,22
34,13,Angers SCO,22
34,14,FC Nantes,18
34,15,AS Saint-Étienne,18
34,16,Stade Rennais FC,17
34,17,Montpellier Hérault SC,15
34,18,Le Havre AC,13
